0,1,2,3,4
"{'image': 'C_1_M04_OC_DGG_P+_151123_1.tif', 'label': 1, 'volume': 71015.0, 'centroid': (10.371344082236147, 206.73315496726045, 182.26837991973528), 'extent': 0.25565931771380845, 'axis_major': 90.77794904202649, 'bbox': (0, 150, 127, 22, 257, 245)}",,,,
"{'image': 'C_2_M04_OC_CA1_P+_161123_1.tif', 'label': 1, 'volume': 63920.0, 'centroid': (7.743898623279099, 212.92462453066332, 223.68102315394242), 'extent': 0.28381642512077293, 'axis_major': 113.93779664235294, 'bbox': (0, 172, 162, 18, 264, 298)}",,,,
"{'image': 'B_4_M04_OC_L1_P+_131123_1.tif', 'label': 1, 'volume': 191069.0, 'centroid': (6.019076877986486, 221.77641584977155, 213.68591974626966), 'extent': 0.4550301973784484, 'axis_major': 153.9922839056753, 'bbox': (0, 138, 133, 16, 300, 295)}","{'image': 'B_4_M04_OC_L1_P+_131123_1.tif', 'label': 2, 'volume': 119986.0, 'centroid': (22.677070658243462, 208.69024719550615, 214.17339522944343), 'extent': 0.5864418377321603, 'axis_major': 163.6262406571134, 'bbox': (19, 130, 134, 27, 295, 289)}",,,
"{'image': 'F_3_M04_OC_L23_P+_231123_1.tif', 'label': 1, 'volume': 370839.0, 'centroid': (12.36122953626776, 193.9012428574125, 217.63191573701795), 'extent': 0.3803086862885858, 'axis_major': 169.52092886698094, 'bbox': (0, 106, 120, 28, 281, 319)}",,,,
"{'image': 'A_4_M04_OC_P+_CA1_011123_1.tif', 'label': 1, 'volume': 52325.0, 'centroid': (4.178174868609651, 226.9343143812709, 196.69014811275682), 'extent': 0.319366455078125, 'axis_major': 126.06409378616112, 'bbox': (0, 160, 107, 8, 288, 267)}","{'image': 'A_4_M04_OC_P+_CA1_011123_1.tif', 'label': 2, 'volume': 17138.0, 'centroid': (10.0, 299.42840471466917, 346.1509511028125), 'extent': 0.4653271789302199, 'axis_major': 300.74143526448205, 'bbox': (10, 154, 263, 11, 408, 408)}","{'image': 'A_4_M04_OC_P+_CA1_011123_1.tif', 'label': 3, 'volume': 28212.0, 'centroid': (13.632780377144478, 222.9305260172976, 204.6852403232667), 'extent': 0.30812581913499343, 'axis_major': 135.1456080931532, 'bbox': (11, 166, 135, 17, 275, 275)}",,
"{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 1, 'volume': 537718.0, 'centroid': (13.093063650463625, 153.06936349536375, 219.2101008335224), 'extent': 0.43360158694319906, 'axis_major': 199.35907772095513, 'bbox': (0, 53, 104, 28, 268, 310)}",,,,
"{'image': 'B_3_M04_OC_DGG_P+_131123_1.tif', 'label': 1, 'volume': 155838.0, 'centroid': (8.074994545617885, 180.46401391188286, 190.71294549468038), 'extent': 0.28302277432712214, 'axis_major': 161.02999382812243, 'bbox': (0, 99, 95, 19, 260, 275)}","{'image': 'B_3_M04_OC_DGG_P+_131123_1.tif', 'label': 2, 'volume': 46216.0, 'centroid': (26.028236974208067, 181.91316859961918, 190.4061796780336), 'extent': 0.2500865800865801, 'axis_major': 173.898891036844, 'bbox': (24, 95, 98, 30, 270, 274)}",,,
"{'image': 'B_3_M04_OC_L23_P+_061123_1.tif', 'label': 1, 'volume': 458106.0, 'centroid': (14.601714450367382, 210.73685784512756, 226.48079702077686), 'extent': 0.23951000690131125, 'axis_major': 193.7266226729412, 'bbox': (0, 82, 123, 33, 334, 353)}",,,,
"{'image': 'B_4_M04_OC_DGG_P+_151123_1.tif', 'label': 1, 'volume': 281778.0, 'centroid': (9.493157734102734, 201.991042593815, 228.43911873886535), 'extent': 0.3275726575215066, 'axis_major': 177.0697623789289, 'bbox': (0, 109, 128, 23, 309, 315)}","{'image': 'B_4_M04_OC_DGG_P+_151123_1.tif', 'label': 2, 'volume': 38494.0, 'centroid': (27.056372421676105, 253.60217176702864, 167.95801943159972), 'extent': 0.17269317733194559, 'axis_major': 153.87623165730727, 'bbox': (23, 188, 91, 34, 324, 240)}","{'image': 'B_4_M04_OC_DGG_P+_151123_1.tif', 'label': 3, 'volume': 46297.0, 'centroid': (39.97189882713783, 212.0840227228546, 218.37903103872821), 'extent': 0.29647916186377726, 'axis_major': 136.11914835792834, 'bbox': (37, 148, 137, 43, 302, 306)}",,
"{'image': 'A_4_M04_OC_P+_CA1_011123_2.tif', 'label': 1, 'volume': 299686.0, 'centroid': (13.661652529647698, 174.6411477346289, 229.32748276529435), 'extent': 0.16507532567682945, 'axis_major': 175.6037241456136, 'bbox': (0, 47, 81, 26, 292, 366)}",,,,
"{'image': 'D_3_M04_OC_DGM_P+_221123_1.tif', 'label': 1, 'volume': 320107.0, 'centroid': (12.521485003451971, 213.18335431590063, 183.1952315944356), 'extent': 0.4020313379149586, 'axis_major': 157.38844637822456, 'bbox': (0, 135, 95, 26, 309, 271)}",,,,
"{'image': 'B_1_M04_OC_DGG_P+_021123_1.tif', 'label': 1, 'volume': 101272.0, 'centroid': (11.540771387945336, 226.61463188245517, 194.27620665139426), 'extent': 0.2510585552084883, 'axis_major': 115.54117796399254, 'bbox': (3, 155, 103, 21, 290, 269)}","{'image': 'B_1_M04_OC_DGG_P+_021123_1.tif', 'label': 2, 'volume': 9390.0, 'centroid': (24.0, 230.96453674121406, 194.05058572949946), 'extent': 0.5390355912743973, 'axis_major': 127.41657388952314, 'bbox': (24, 166, 128, 25, 296, 262)}",,,
"{'image': 'F_1_M04_OC_L4_P+_231123_1.tif', 'label': 1, 'volume': 552940.0, 'centroid': (11.208850869895468, 213.7777480377618, 199.53723731327088), 'extent': 0.41291789136616724, 'axis_major': 199.75648151867802, 'bbox': (0, 96, 87, 26, 318, 319)}",,,,
"{'image': 'C_2_M04_OC_L23_P+_161123_2.tif', 'label': 1, 'volume': 80564.0, 'centroid': (8.23989623156745, 215.99066580606723, 222.98242391142446), 'extent': 0.25127173489278753, 'axis_major': 148.11556043975173, 'bbox': (0, 162, 136, 15, 287, 307)}",,,,
"{'image': 'F_1_M04_OC_L4_P+_231123_2.tif', 'label': 1, 'volume': 80217.0, 'centroid': (4.239113903536657, 202.9229589737836, 191.40660957153722), 'extent': 0.3384597858282069, 'axis_major': 139.60356923809687, 'bbox': (0, 133, 105, 11, 259, 276)}",,,,
"{'image': 'C_2_M04_OC_L23_P+_161123_1.tif', 'label': 1, 'volume': 329101.0, 'centroid': (11.013807311433268, 226.54629126012986, 204.43731255754312), 'extent': 0.3345175074811345, 'axis_major': 180.01643913880068, 'bbox': (0, 127, 88, 24, 310, 312)}",,,,
"{'image': 'B_1_M04_OC_CA1_P+_021123_1.tif', 'label': 1, 'volume': 186180.0, 'centroid': (8.969099795896444, 184.5816091954023, 218.79010634869482), 'extent': 0.29717478052673585, 'axis_major': 146.20406775113082, 'bbox': (0, 77, 134, 20, 256, 309)}","{'image': 'B_1_M04_OC_CA1_P+_021123_1.tif', 'label': 2, 'volume': 11150.0, 'centroid': (24.70340807174888, 310.437668161435, 285.42825112107624), 'extent': 0.3024631076388889, 'axis_major': 112.16297049962654, 'bbox': (23, 267, 236, 27, 363, 332)}","{'image': 'B_1_M04_OC_CA1_P+_021123_1.tif', 'label': 3, 'volume': 17113.0, 'centroid': (27.80424238882721, 179.989072634839, 218.27809267808098), 'extent': 0.32235156720916214, 'axis_major': 173.89810988207094, 'bbox': (27, 98, 139, 29, 256, 307)}",,
