,image,label,volume,centroid,extent,axis_major,axis_minor,bbox,slide,section,region,plaque,date,number,masksize,zplane,znumber,otsuthreshold,mean,ID,Genotype,mean_intensity_norm,mean_intensity,methoxy_oc_ratio,oc_methoxy_ratio
0,A_4_M04_OC_P+_CA1_011123_1.tif,1,142604.0,"(4.939097080025806, 221.9627990799697, 189.98135395921574)",0.2162468723936614,200.5262118607945,13.438372106633052,"(0, 87, 30, 11, 305, 305)",A,4,P+,CA1,11123,1,24756,16,17,6.5429688,1.7888627,PF336,APPPS1,0.0204793970644774,5.222246251441753,0.6036857311155367,1.6564910324319302
1,A_4_M04_OC_P+_CA1_011123_2.tif,1,710705.0,"(8.555712989214934, 180.2776046320203, 244.2685699411148)",0.3177806573233461,328.5422896725932,25.77950058436385,"(0, 0, 74, 18, 372, 408)",A,4,P+,CA1,11123,2,81067,25,26,4.9804688,2.814535,PF336,APPPS1,0.023918802911399,6.099294742406767,0.36828923392968954,2.7152572159926645
2,A_4_M04_OC_P+_DGG_011123_1.tif,3,91658.0,"(6.9962687381352415, 169.89945231185493, 181.14227890636934)",0.3274529137729,181.8815673711731,7.716129361700614,"(5, 57, 71, 11, 275, 285)",A,4,P+,DGG,11123,1,0,15,16,3.6132812,2.0214372,PF336,APPPS1,0.0163502348267257,4.169309880815071,0.7091143162626284,1.4102098590682504
3,A_4_M04_OC_P+_DGM_011123_1.tif,1,717969.0,"(8.91737386990246, 189.06359466773634, 198.1005503023111)",0.2906168791742562,335.8758753027819,20.214127910697133,"(0, 3, 0, 18, 378, 366)",A,4,P+,DGM,11123,1,59490,27,28,5.9570312,1.3877522,PF336,APPPS1,0.0168765218505702,4.303513071895424,0.5047320984610756,1.9812490686623507
4,A_4_M04_OC_P+_L1_311023_1.tif,1,757375.0,"(6.827447433569896, 161.44993431259283, 199.4407592011883)",0.3326374974855921,347.14096278074413,25.24862294673197,"(0, 0, 7, 17, 334, 408)",A,4,P+,L1,311023,1,11174,18,19,8.105469,2.7828212,PF336,APPPS1,0.0204874539204378,5.22430074971165,1.0598052483908236,0.9435695865050394
5,B_1_M04_OC_CA1_P+_021123_1.tif,1,675978.0,"(7.2112317264763055, 207.33224010248856, 238.61102136460062)",0.2460683298660594,426.88400793785127,23.09477358298732,"(0, 3, 85, 21, 408, 408)",B,1,CA1,P+,21123,1,9261,28,29,5.9570312,2.7894223,PF339,APPPS1,0.0584657296213372,14.908761053440983,0.26423493072259746,3.784510992794639
6,B_1_M04_OC_DGG_P+_021123_1.tif,1,474385.0,"(13.54882848319403, 222.20365525891418, 192.6163074296194)",0.2533336537485915,184.1498733386578,37.97719116270881,"(0, 125, 43, 30, 366, 302)",B,1,DGG,P+,21123,1,2014,40,41,9.082031,1.429875,PF339,APPPS1,0.0181193978937211,4.620446462898885,0.25932523161567084,3.8561615997398797
7,B_1_M04_OC_DGM_P+_021123_1.tif,1,218649.0,"(10.916601493718243, 170.76391385279604, 219.37555625683171)",0.2190661018579375,179.25581006011564,22.22123646209716,"(0, 39, 128, 22, 251, 342)",B,1,DGM,P+,21123,1,1173,32,33,6.7382812,1.4828831,PF339,APPPS1,0.0101478456626787,2.587700643983084,0.14562152125095473,6.867116834170854
8,B_1_M04_OC_L1_P+_021123_1.tif,1,625431.0,"(7.7529607582611035, 141.6831145242241, 253.12167129547464)",0.2707380991958775,305.45818777827355,24.82349798232488,"(0, 0, 0, 19, 298, 408)",B,1,L1,P+,21123,1,4276,22,23,5.9570312,2.358627,PF339,APPPS1,0.0155948928014112,3.9766976643598615,0.3760047071539466,2.6595411732188037
9,B_1_M04_OC_L23_P+_021123_1.tif,1,730079.0,"(11.41258411760919, 207.0461498002271, 219.54435067985793)",0.2696331723711302,282.5116299054937,37.686756838205056,"(0, 62, 14, 25, 339, 405)",B,1,L23,P+,21123,1,1465,24,25,4.9804688,2.9569457,PF339,APPPS1,0.0722286771302138,18.41831266820453,0.596588862301203,1.676196226900268
