0,1,2,3,4,5,6,7,8,9,10,11
"{'image': 'C_1_M04_OC_DGG_P+_151123_1.tif', 'label': 1, 'volume': 88235.0, 'centroid': (9.921890406301355, 206.74162180540603, 183.3562418541395), 'extent': 0.27859695875116824, 'axis_major': 96.7960807095684, 'bbox': (0, 145, 128, 22, 267, 246)}",,,,,,,,,,,
"{'image': 'C_2_M04_OC_CA1_P+_161123_1.tif', 'label': 1, 'volume': 261857.0, 'centroid': (8.272018697227876, 211.29730730895108, 221.74965343679946), 'extent': 0.3372264334154967, 'axis_major': 207.3675465910615, 'bbox': (0, 124, 115, 18, 303, 356)}",,,,,,,,,,,
"{'image': 'B_4_M04_OC_L1_P+_131123_1.tif', 'label': 1, 'volume': 185031.0, 'centroid': (3.0093389756311106, 229.77962611670478, 207.887164853457), 'extent': 0.2635769230769231, 'axis_major': 235.5890675242295, 'bbox': (0, 113, 75, 12, 338, 335)}","{'image': 'B_4_M04_OC_L1_P+_131123_1.tif', 'label': 2, 'volume': 154.0, 'centroid': (17.0, 204.87012987012986, 10.96103896103896), 'extent': 0.4583333333333333, 'axis_major': 24.869316256173615, 'bbox': (17, 195, 4, 18, 216, 20)}","{'image': 'B_4_M04_OC_L1_P+_131123_1.tif', 'label': 3, 'volume': 1730.0, 'centroid': (18.0, 330.9913294797688, 205.26820809248554), 'extent': 0.42112950340798444, 'axis_major': 90.27555184800772, 'bbox': (18, 304, 168, 19, 356, 247)}","{'image': 'B_4_M04_OC_L1_P+_131123_1.tif', 'label': 4, 'volume': 198786.0, 'centroid': (23.135985431569626, 211.4759691326351, 208.28368194943306), 'extent': 0.4112859176377119, 'axis_major': 223.69941181658683, 'bbox': (19, 96, 84, 27, 332, 340)}",,,,,,,,
"{'image': 'F_3_M04_OC_L23_P+_231123_1.tif', 'label': 1, 'volume': 559677.0, 'centroid': (12.491646074432218, 197.2815659746604, 218.43308729856685), 'extent': 0.2963888535841383, 'axis_major': 239.69821694228494, 'bbox': (0, 89, 76, 28, 329, 357)}",,,,,,,,,,,
"{'image': 'A_4_M04_OC_P+_CA1_011123_1.tif', 'label': 1, 'volume': 47078.0, 'centroid': (1.608691958027104, 229.82257105229618, 197.43355707549173), 'extent': 0.42385119562085855, 'axis_major': 165.19054096691647, 'bbox': (0, 146, 102, 4, 302, 280)}","{'image': 'A_4_M04_OC_P+_CA1_011123_1.tif', 'label': 2, 'volume': 2014.0, 'centroid': (0.0, 381.31231380337636, 224.69165839126117), 'extent': 0.3917525773195876, 'axis_major': 111.37896221881479, 'bbox': (0, 355, 182, 1, 408, 279)}","{'image': 'A_4_M04_OC_P+_CA1_011123_1.tif', 'label': 3, 'volume': 103801.0, 'centroid': (11.362713268658299, 216.62279746823248, 187.11135730869645), 'extent': 0.17314595496246873, 'axis_major': 211.14920650101814, 'bbox': (7, 87, 30, 17, 305, 305)}","{'image': 'A_4_M04_OC_P+_CA1_011123_1.tif', 'label': 4, 'volume': 2824.0, 'centroid': (8.0, 336.60198300283287, 342.8006373937677), 'extent': 0.3901630284609008, 'axis_major': 110.62400775715986, 'bbox': (8, 294, 295, 9, 371, 389)}",,,,,,,,
"{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 1, 'volume': 103393.0, 'centroid': (2.5937829446867777, 129.91804087317323, 208.0106100026114), 'extent': 0.1777831655111698, 'axis_major': 215.38464237894328, 'bbox': (0, 36, 89, 12, 244, 322)}","{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 2, 'volume': 35.0, 'centroid': (9.0, 346.42857142857144, 185.4857142857143), 'extent': 0.5555555555555556, 'axis_major': 10.397225698730757, 'bbox': (9, 343, 182, 10, 352, 189)}","{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 3, 'volume': 12.0, 'centroid': (10.0, 52.333333333333336, 109.08333333333333), 'extent': 0.6, 'axis_major': 5.431937050298326, 'bbox': (10, 51, 107, 11, 55, 112)}","{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 4, 'volume': 6.0, 'centroid': (12.0, 208.0, 309.5), 'extent': 1.0, 'axis_major': 3.651483716701107, 'bbox': (12, 207, 309, 13, 210, 311)}","{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 5, 'volume': 5.0, 'centroid': (13.0, 213.0, 360.8), 'extent': 0.5555555555555556, 'axis_major': 3.729360782454227, 'bbox': (13, 212, 360, 14, 215, 363)}","{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 6, 'volume': 4.0, 'centroid': (14.0, 257.5, 325.5), 'extent': 1.0, 'axis_major': 2.23606797749979, 'bbox': (14, 257, 325, 15, 259, 327)}","{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 7, 'volume': 7.0, 'centroid': (15.0, 350.2857142857143, 199.85714285714286), 'extent': 0.7777777777777778, 'axis_major': 4.004876116761533, 'bbox': (15, 349, 199, 16, 352, 202)}","{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 8, 'volume': 3.0, 'centroid': (16.0, 350.3333333333333, 190.66666666666666), 'extent': 0.75, 'axis_major': 2.5819888974716116, 'bbox': (16, 350, 190, 17, 352, 192)}","{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 9, 'volume': 3.0, 'centroid': (17.0, 155.33333333333334, 93.66666666666667), 'extent': 0.75, 'axis_major': 2.5819888974716116, 'bbox': (17, 155, 93, 18, 157, 95)}","{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 10, 'volume': 4.0, 'centroid': (18.0, 381.75, 122.0), 'extent': 0.6666666666666666, 'axis_major': 3.1622776601683795, 'bbox': (18, 381, 121, 19, 383, 124)}","{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 11, 'volume': 3.0, 'centroid': (19.0, 58.666666666666664, 31.666666666666668), 'extent': 0.75, 'axis_major': 2.5819888974716116, 'bbox': (19, 58, 31, 20, 60, 33)}","{'image': 'C_1_M04_OC_L1_P+_151123_1.tif', 'label': 12, 'volume': 231832.0, 'centroid': (23.9503994271714, 136.21725646157563, 206.99703233375894), 'extent': 0.4804210875331565, 'axis_major': 230.4269030646824, 'bbox': (20, 18, 85, 28, 278, 317)}"
"{'image': 'B_3_M04_OC_DGG_P+_131123_1.tif', 'label': 1, 'volume': 288769.0, 'centroid': (13.135430049624441, 181.089545622972, 196.6834424747809), 'extent': 0.21622376470412052, 'axis_major': 194.1016670726627, 'bbox': (0, 77, 82, 30, 286, 295)}","{'image': 'B_3_M04_OC_DGG_P+_131123_1.tif', 'label': 2, 'volume': 46.0, 'centroid': (0.0, 302.0, 160.5), 'extent': 0.6388888888888888, 'axis_major': 11.233198657744978, 'bbox': (0, 298, 157, 1, 307, 165)}",,,,,,,,,,
"{'image': 'B_3_M04_OC_L23_P+_061123_1.tif', 'label': 1, 'volume': 970028.0, 'centroid': (12.274557023096241, 215.48466848379636, 230.52378488043644), 'extent': 0.25502596983313897, 'axis_major': 323.0174917611041, 'bbox': (0, 12, 22, 26, 391, 408)}","{'image': 'B_3_M04_OC_L23_P+_061123_1.tif', 'label': 2, 'volume': 86330.0, 'centroid': (31.014189737055485, 215.70910459863316, 227.04658867137726), 'extent': 0.5918932631261399, 'axis_major': 240.05968326824654, 'bbox': (30, 104, 114, 33, 326, 333)}",,,,,,,,,,
"{'image': 'B_4_M04_OC_DGG_P+_151123_1.tif', 'label': 1, 'volume': 1391262.0, 'centroid': (15.65110381797246, 218.1581815646514, 210.6051613570988), 'extent': 0.24980836967980094, 'axis_major': 310.3659959046735, 'bbox': (0, 57, 37, 43, 408, 406)}",,,,,,,,,,,
"{'image': 'A_4_M04_OC_P+_CA1_011123_2.tif', 'label': 1, 'volume': 640004.0, 'centroid': (7.819780813869913, 180.99902344360348, 241.42607233704788), 'extent': 0.30300120820976645, 'axis_major': 326.6120659312551, 'bbox': (0, 0, 74, 17, 372, 408)}","{'image': 'A_4_M04_OC_P+_CA1_011123_2.tif', 'label': 2, 'volume': 49300.0, 'centroid': (23.0, 174.21123732251522, 256.7171805273834), 'extent': 0.5944916071773104, 'axis_major': 329.8438428719138, 'bbox': (23, 41, 100, 24, 333, 384)}",,,,,,,,,,
"{'image': 'D_3_M04_OC_DGM_P+_221123_1.tif', 'label': 1, 'volume': 336278.0, 'centroid': (14.968579568095445, 211.68281302969567, 175.61652858646715), 'extent': 0.2255863751137062, 'axis_major': 231.6372732335194, 'bbox': (0, 106, 22, 26, 324, 285)}",,,,,,,,,,,
