area,extent,centroid,surface_area,complexity,sphericity,major_axis_length,minor_axis_length,bbox,solidity,Genotype,image_name,volume_ratio
9392.0,0.1298223788789826,"(10.536413969335605, 210.4782793867121, 182.0103279386712)",2413.347164646201,3.891690403099081,0.8920099797342812,71.92646816833185,11.831161854376369,"(3, 187, 139, 18, 240, 230)",0.3306925812471392,APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_DGG_P+_151123_1 - C_1_M04_OC.lif_,0.18894342962903354
90128.0,0.1547123690245677,"(13.225634652938044, 214.36817637138293, 234.5916141487662)",8936.819058957884,10.085020117942252,1.0877797808423662,155.21101462376544,19.13226318434632,"(1, 152, 147, 28, 276, 321)",0.3061007543158345,APPPS1,B_1_M04_OC_B_1_M04_OC_L4_P+_021123_2 - B_1_M04_OC.lif_,0.425447147179751
54591.0,0.1293950613187198,"(12.259035372130937, 199.98212159513474, 220.63765089483616)",6316.098939122778,8.643151496860808,1.1018333159327034,129.209089931375,17.30286906927731,"(2, 142, 149, 24, 269, 300)",0.3431324483330819,APPPS1xFIRE,F_1_M04_OC_F_1_M04_OC_L1_P+_231123_1 - F_1_M04_OC.lif_,1.7985964681075381
27228.0,0.0933360756890168,"(15.87946231820185, 212.47535625091817, 212.2564639341854)",7267.080787790127,3.746758952473385,0.6022839604318473,186.0155079060417,14.771448036807795,"(5, 160, 117, 22, 248, 312)",0.2122643715795874,APPPS1,H_1_M04_OC_H_1_M04_OC_L4_P+_110124_1 - H_1_M04_OC.lif_,0.13152352429716935
57449.0,0.2001428372352285,"(10.218472036066773, 204.29159776497414, 203.62702570975995)",5466.605855887923,10.50908031683377,1.3171078693135505,103.96947285939106,17.857003418311944,"(1, 154, 147, 25, 258, 262)",0.4458353058041084,APPPS1xFIRE,H_3_M04_OC_H_3_M04_OC_L1_P+_210224_1 - H_3_M04_OC.lif_,0.8027303086618134
112130.0,0.1233484149954182,"(15.164701685543566, 176.86189244626772, 205.48024614286987)",9126.611577376916,12.28604932392963,1.2321278429167106,127.33754923870713,23.7677831217536,"(1, 106, 130, 34, 275, 293)",0.3223580753385867,APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_L23_P+_151123_2 - C_1_M04_OC.lif_,0.9995008289804432
204899.0,0.1641187684224016,"(17.986178556264306, 214.52765020815133, 207.33438913806313)",14019.957955400943,14.614808450339629,1.198847584292526,175.12879710639336,28.031546061632543,"(2, 109, 125, 38, 313, 295)",0.336734106943593,APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_DGM_P+_131123_1 - B_3_M04_OC.lif_,0.7684336852369255
118457.0,0.2783294172932331,"(12.581763846796727, 203.11491933781878, 211.56345340503304)",6333.762665583224,18.702469014773587,1.841603613778108,134.52013618696105,18.038343344773896,"(1, 132, 138, 21, 284, 278)",0.5348573647471035,APPPS1xFIRE,D_3_M04_OC_D_3_M04_OC_DGG_P+_221123_1 - D_3_M04_OC.lif_,0.5462422414667663
10946.0,0.1596930438842203,"(13.162159693038554, 190.7315914489311, 205.12917960898957)",1964.482318438012,5.571951397711394,1.2135927205676464,59.63277202725627,9.93581687616984,"(7, 159, 170, 23, 222, 238)",0.4392632128095028,APPPS1,A_4_M04_OC_A_4_M04_OC_L1_P+_201223_1 - A_4_M04_OC.lif (default)_,0.04987947085655437
128073.0,0.1824214610467302,"(16.02709392299704, 209.70599579927074, 227.09016732644665)",10458.72157960034,12.245569310287928,1.1748359957465233,161.75230235300836,24.036089169464763,"(4, 151, 143, 32, 277, 342)",0.3803839688262933,APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_L23_P+_061123_1 - B_3_M04_OC.lif_,0.36799731055349155
57827.0,0.1521763157894737,"(8.787659743718333, 169.08608435505906, 234.0490947135421)",6600.460165082661,8.761055828487953,1.0956294185777025,149.38904959484017,16.792359025756777,"(2, 96, 175, 21, 221, 335)",0.441292735042735,APPPS1,C_2_M04_OC_C_2_M04_OC_L1_P+_161123_2 - C_2_M04_OC.lif_,2.1673475506915034
121164.0,0.1507554945054945,"(13.397634610940543, 214.88118583077483, 164.15837212373313)",11530.436383860902,10.508188585957829,1.026961388381402,190.82561088749952,20.637575569599083,"(1, 136, 74, 29, 292, 258)",0.3309732192611532,APPPS1xFIRE,B_4_M04_OC_B_4_M04_OC_DGM_P+_131123_1 - B_4_M04_OC.lif_,0.3709745568108754
158146.0,0.1319158519902572,"(20.649494770654965, 192.7421243660921, 189.04040570106105)",11757.76579331759,13.45034445998922,1.2028130385521016,159.49295297372308,24.81176334293086,"(5, 94, 83, 39, 266, 288)",0.3090738884100712,APPPS1,H_1_M04_OC_H_1_M04_OC_DGM_P+_300124_2 - H_1_M04_OC.lif_,0.43451239415103776
229371.0,0.0838414166092788,"(14.891023712675098, 191.50251775507803, 203.83418566427318)",15570.328225654202,14.731288684209016,1.1638009181311315,179.77238720400692,31.26800782158915,"(2, 66, 1, 40, 279, 339)",0.2609222389822063,APPPS1,H_1_M04_OC_H_1_M04_OC_CA1_P+_300124_1 - H_1_M04_OC.lif_,0.4200964842233276
161221.0,0.2112368059704621,"(10.413829463903586, 211.28945980982627, 224.13627877261646)",8106.175977657479,19.888662723874106,1.7671869831208429,156.3444072430468,19.934424970692447,"(2, 106, 130, 24, 283, 326)",0.4643782980390349,APPPS1,B_1_M04_OC_B_1_M04_OC_L23_P+_021123_1 - B_1_M04_OC.lif_,0.6070319177375569
213818.0,0.0924576797411056,"(11.474389434004621, 208.86228474684077, 218.30131700792262)",16257.08249066352,13.1522983981164,1.0636637461940284,256.80486884289536,24.43153738601747,"(1, 87, 86, 28, 353, 408)",0.2263738241568602,APPPS1,A_4_M04_OC_A_4_M04_OC_L4_P+_201223_1 - A_4_M04_OC.lif_,0.4769518693913241
150234.0,0.2031803649386269,"(18.93679859419306, 219.0894870668424, 200.44100536496398)",10261.706338216763,14.640255241031095,1.3318133461738473,151.88965670742525,22.990451002636743,"(2, 127, 131, 33, 305, 265)",0.4591587865303153,APPPS1,F_3_M04_OC_F_3_M04_OC_L1_P+_231123_1 - F_3_M04_OC.lif (default)_,2.8479299363057327
48644.0,0.091397607022607,"(15.322383027711536, 167.79615163226708, 201.8607228024011)",8159.0373696329825,5.961977840798657,0.7898259322243926,132.17847982108293,22.426827557644128,"(3, 106, 118, 30, 218, 294)",0.2462900049112183,APPPS1,C_2_M04_OC_C_2_M04_OC_L4_P+_161123_2 - C_2_M04_OC.lif_,8.826710215931772
458218.0,0.2154845578601747,"(14.884404366480583, 227.5651720360178, 195.6497671414043)",15734.00953314369,29.12277376181601,1.82680761152395,238.3665314249516,24.47513416920641,"(5, 115, 31, 34, 357, 334)",0.4256494335889421,APPPS1,B_2_M04_OC_B_2_M04_OC_L1_P+_031123_1 - B_2_M04_OC.lif_,0.7202918780927948
41828.0,0.2934062850729517,"(8.64251219278952, 208.95266328774983, 188.84558190685664)",2833.795940923827,14.760413548465996,2.0563338130174094,109.27466797202662,10.08170192790731,"(5, 152, 126, 16, 260, 246)",0.5595120254688462,APPPS1xFIRE,F_2_M04_OC_F_2_M04_OC_L23_P+_231123_1 - F_2_M04_OC.lif_,0.6827277772337023
85216.0,0.2205554261459223,"(11.00468221930154, 224.26388236950808, 208.2799826323695)",5666.100327294779,15.039620740475929,1.652775859369778,134.43759015743453,16.116891400315993,"(3, 153, 129, 21, 288, 288)",0.4584635745912531,APPPS1,C_2_M04_OC_C_2_M04_OC_L23_P+_161123_1 - C_2_M04_OC.lif_,0.6204928059649327
13164.0,0.1683289857296302,"(8.213992707383774, 206.13195077484048, 198.07452142206017)",2380.3957946987607,5.530172767619893,1.1326442707791249,77.9334679450402,10.498313993128344,"(2, 181, 147, 16, 238, 245)",0.4113621449329708,APPPS1xFIRE,F_2_M04_OC_F_2_M04_OC_L4_P+_231123_1 - F_2_M04_OC.lif (default)_,0.4301257964384904
69772.0,0.1823432407922831,"(16.436091841999655, 215.16799002465171, 202.04991973857707)",5452.851509395438,12.795507062640638,1.5030770184898636,119.65365545570592,15.559024589412685,"(2, 145, 135, 23, 282, 268)",0.4043136368640949,APPPS1xFIRE,H_3_M04_OC_H_3_M04_OC_L4_P+_210224_1 - H_3_M04_OC.lif_,0.4547303110091504
50281.0,0.1956976943315741,"(16.464151468745648, 216.69177224001115, 214.0729699091108)",5731.739318992845,8.772380808280573,1.1493888110788164,93.1644907611194,22.62058723945812,"(3, 174, 152, 29, 255, 274)",0.4253639801365401,APPPS1,H_1_M04_OC_H_1_M04_OC_L23_P+_110124_2 - H_1_M04_OC.lif_,0.2783014429543203
6907.0,0.1512503832172732,"(8.569132763862749, 194.2769653974229, 214.71811206022875)",1354.3706627891083,5.0997855976709845,1.295009309911373,69.02903507099853,6.838420324108716,"(5, 165, 168, 14, 224, 254)",0.4007310280807612,APPPS1xFIRE,D_4_M04_OC_D_4_M04_OC_L4_P+_221123_1 - D_4_M04_OC.lif_,0.5682902748066481
112302.0,0.1929607521727028,"(9.56226068992538, 211.33642321597122, 180.37668964043382)",7448.751815091352,15.076619920732682,1.5112127674213498,151.4523159486687,18.786433010387416,"(2, 145, 73, 23, 294, 259)",0.449118176364727,APPPS1xFIRE,D_3_M04_OC_D_3_M04_OC_DGM_P+_221123_1 - D_3_M04_OC.lif_,0.7814650643322872
25265.0,0.1015343685699588,"(14.804591331882051, 179.69087670690678, 194.02529190579853)",5624.518124156624,4.49194036578705,0.7403066870607908,145.40717660261558,13.21039057156669,"(7, 133, 111, 25, 229, 255)",0.2377770457860806,APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_DGG_P+_131123_1 - B_3_M04_OC.lif_,0.1800540197692401
111656.0,0.1204698124159777,"(21.802876692699005, 179.1906749301426, 202.85480404098303)",11501.180980243946,9.708220415955209,0.9749815497934432,159.86597412391856,24.47363056998876,"(2, 97, 126, 35, 283, 277)",0.2733243413274061,APPPS1,C_2_M04_OC_C_2_M04_OC_L1_P+_161123_1 - C_2_M04_OC.lif (default)_,2.996993772815117
211876.0,0.1514807689145413,"(11.4327153618154, 167.69120617719798, 192.14699635635938)",12307.79425565034,17.214782405281973,1.3964489816015335,199.5195015043854,20.594777440481327,"(1, 61, 53, 30, 268, 286)",0.3717533692320379,APPPS1xFIRE,B_4_M04_OC_B_4_M04_OC_L4_P+_131123_1 - B_4_M04_OC.lif_,1.0292387433995442
55566.0,0.2489516129032258,"(9.463574847928589, 200.01952632905014, 203.0709966526293)",3445.380504107244,16.127681669342376,2.043868838461871,99.7877011239148,12.876580844305886,"(1, 131, 146, 16, 255, 266)",0.5245242410512008,APPPS1xFIRE,D_3_M04_OC_D_3_M04_OC_L1_P+_221123_2 - D_3_M04_OC.lif_,0.7048839274387924
118328.0,0.0834287519248233,"(26.43801129064972, 198.13798086674328, 218.07458927726321)",12837.632336052977,9.217275966666358,0.9079408166545582,149.12371565382992,24.311291727644036,"(1, 131, 154, 44, 264, 402)",0.2672502772376067,APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_DGM_P+_151123_1 - C_1_M04_OC.lif_,0.3967622739191373
32171.0,0.1428679278799182,"(9.242827391128657, 152.41686612166237, 179.92353361723292)",4204.476823712571,7.65160597831358,1.16345217386029,123.70573957436729,12.530913594399747,"(3, 104, 113, 18, 212, 252)",0.3355900025035467,APPPS1,B_1_M04_OC_B_1_M04_OC_L4_P+_021123_3 - B_1_M04_OC.lif_,0.20683292508084686
49302.0,0.2037946428571428,"(8.500831609265344, 247.6196300352927, 201.87947750598352)",4199.542755198978,11.739849520275698,1.5483119851768543,119.1972517832913,13.551121403957405,"(3, 188, 120, 18, 300, 264)",0.3600236598243039,APPPS1,B_2_M04_OC_B_2_M04_OC_DGG_P+_031123_2 - B_2_M04_OC.lif_,0.1583420048560527
266037.0,0.1789614949951566,"(11.590914045790623, 152.24819855884706, 221.84491630863377)",10181.003422394882,26.130724935697938,1.964814565297668,175.78468098867322,22.87260773420199,"(2, 70, 29, 26, 260, 355)",0.4680173951593325,APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_L1_P+_151123_1 - C_1_M04_OC.lif (default)_,2.1149968994959694
223413.0,0.3308939838265351,"(15.054920707389453, 214.02588927233418, 199.47751473728027)",8619.108635226834,25.920661805664817,2.065827543066555,167.05418180959617,19.77808711215552,"(2, 133, 113, 24, 298, 299)",0.6171425256621328,APPPS1xFIRE,F_1_M04_OC_F_1_M04_OC_L4_P+_231123_1 - F_1_M04_OC.lif (default)_,1.853034852280079
9302.0,0.1892958892958893,"(6.709739840894431, 212.50161255643948, 216.67480111803914)",2084.9914177176825,4.461409251354307,1.025881999536428,62.72084709501972,11.442119063204798,"(1, 190, 182, 16, 232, 260)",0.4559356925791589,APPPS1,C_2_M04_OC_C_2_M04_OC_CA1_P+_161123_1 - C_2_M04_OC.lif_,0.10838586392924973
46454.0,0.1567104766017164,"(8.205794979980196, 223.82776510096008, 212.14149481207215)",6491.726630313794,7.155877418355574,0.96265937588958,176.981039674692,13.830921221847136,"(1, 183, 96, 17, 280, 287)",0.3801441886727604,APPPS1,A_4_M04_OC_A_4_M04_OC_L23_P+_201223_1 - A_4_M04_OC.lif_,0.3069573204173467
22560.0,0.1788687502973217,"(11.21006205673759, 195.58812056737588, 214.46010638297872)",2987.283196488407,7.552012486301798,1.2925096434423038,100.8526285166134,10.975662881186844,"(4, 143, 168, 17, 242, 266)",0.3425916083278917,APPPS1,C_2_M04_OC_C_2_M04_OC_L1_P+_161123_3 - C_2_M04_OC.lif_,0.2624110175405946
37311.0,0.1965391908975979,"(5.272573771809922, 212.44981372785506, 212.38637399158426)",2801.3722682173657,13.318829640497086,1.927545146363472,105.0680371507031,9.593143276258491,"(2, 158, 144, 14, 271, 284)",0.4324960298600888,APPPS1xFIRE,F_1_M04_OC_F_1_M04_OC_L23_P+_231123_2 - F_1_M04_OC.lif_,0.8233334068892468
45613.0,0.1510254219891266,"(17.511060443294674, 188.71926862955738, 217.92425405038037)",6285.875147939676,7.256427931908669,0.9821491953540228,167.41742061903753,12.243654622014189,"(9, 124, 148, 27, 243, 289)",0.4386877741017158,APPPS1xFIRE,F_2_M04_OC_F_2_M04_OC_CA1_P+_231123_1 - F_2_M04_OC.lif_,0.4231771920547005
163249.0,0.0944217650876204,"(12.152711502061269, 149.74549920673329, 185.40903160203126)",14031.961496907448,11.634082664492702,1.029436177426548,180.91331557811023,28.26233315831304,"(2, 1, 73, 36, 242, 284)",0.2266453232336134,APPPS1,B_2_M04_OC_B_2_M04_OC_L23_P+_031123_1 - B_2_M04_OC.lif_,0.3544283735491687
