,ID,Genotype,Mean_OC_spread_2D,Non-MX04_OC_volume
0,C_1_M04_OC_C_1_M04_OC_DGG_P+_151123_1 - C_1_M04_OC.lif_,APPPS1xFIRE,3.506186639719198,1136.0736
1,B_1_M04_OC_B_1_M04_OC_L4_P+_021123_2 - B_1_M04_OC.lif_,APPPS1,7.591445059493498,4546.4652
2,F_1_M04_OC_F_1_M04_OC_L1_P+_231123_1 - F_1_M04_OC.lif_,APPPS1xFIRE,20.18291797766256,1059.0588
3,H_1_M04_OC_H_1_M04_OC_L4_P+_110124_1 - H_1_M04_OC.lif_,APPPS1,7.331809386195569,5741.603999999999
4,H_3_M04_OC_H_3_M04_OC_L1_P+_210224_1 - H_3_M04_OC.lif_,APPPS1xFIRE,1.6472694742849672,567.8747999999999
5,C_1_M04_OC_C_1_M04_OC_L23_P+_151123_2 - C_1_M04_OC.lif_,APPPS1xFIRE,5.899457340560238,2506.2371999999996
6,B_3_M04_OC_B_3_M04_OC_DGM_P+_131123_1 - B_3_M04_OC.lif_,APPPS1xFIRE,8.978815783612228,7611.083999999999
7,D_3_M04_OC_D_3_M04_OC_DGG_P+_221123_1 - D_3_M04_OC.lif_,APPPS1xFIRE,7.98166793714011,3874.1004
8,A_4_M04_OC_A_4_M04_OC_L1_P+_201223_1 - A_4_M04_OC.lif (default)_,APPPS1,14.844055346784906,6417.2735999999995
9,B_3_M04_OC_B_3_M04_OC_L23_P+_061123_1 - B_3_M04_OC.lif_,APPPS1xFIRE,7.904443295338334,6765.735599999999
10,C_2_M04_OC_C_2_M04_OC_L1_P+_161123_2 - C_2_M04_OC.lif_,APPPS1,2.1313014160045114,208.1376
11,B_4_M04_OC_B_4_M04_OC_DGM_P+_131123_1 - B_4_M04_OC.lif_,APPPS1xFIRE,5.470834356043511,6146.9928
12,H_1_M04_OC_H_1_M04_OC_DGM_P+_300124_2 - H_1_M04_OC.lif_,APPPS1,9.464377597673591,10139.3856
13,H_1_M04_OC_H_1_M04_OC_CA1_P+_300124_1 - H_1_M04_OC.lif_,APPPS1,9.76047909811912,14304.276
14,B_1_M04_OC_B_1_M04_OC_L23_P+_021123_1 - B_1_M04_OC.lif_,APPPS1,7.369908649308174,4131.486
15,A_4_M04_OC_A_4_M04_OC_L4_P+_201223_1 - A_4_M04_OC.lif_,APPPS1,8.710612098084347,9394.055999999999
16,F_3_M04_OC_F_3_M04_OC_L1_P+_231123_1 - F_3_M04_OC.lif (default)_,APPPS1,5.173177037047261,1638.0468
17,C_2_M04_OC_C_2_M04_OC_L4_P+_161123_2 - C_2_M04_OC.lif_,APPPS1,22.52437735200394,184.51799999999997
18,B_2_M04_OC_B_2_M04_OC_L1_P+_031123_1 - B_2_M04_OC.lif_,APPPS1,9.396703104269347,12402.7848
19,F_2_M04_OC_F_2_M04_OC_L23_P+_231123_1 - F_2_M04_OC.lif_,APPPS1xFIRE,7.339759464461152,835.7579999999999
